RK,NAME,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
1,Jameis WinstonTB,QB,16,380,626,60.7,"5,109",8.2,319.3,71,33,30,47,282,55.7,84.3
2,Dak PrescottDAL,QB,16,388,596,65.1,"4,902",8.2,306.4,62,30,11,23,151,71.9,99.7
3,Jared GoffLAR,QB,16,394,626,62.9,"4,638",7.4,289.9,66,22,16,22,170,50.6,86.5
4,Philip RiversLAC,QB,16,390,591,66,"4,615",7.8,288.4,84,23,20,34,222,50.5,88.5
5,Matt RyanATL,QB,15,408,616,66.2,"4,466",7.3,297.7,93,26,14,48,316,59.6,92.1
6,Russell WilsonSEA,QB,16,341,516,66.1,"4,110",8,256.9,60,31,5,48,319,71.5,106.3
7,Tom BradyNE,QB,16,373,613,60.8,"4,057",6.6,253.6,59,24,8,27,185,55.7,88
8,Derek CarrOAK,QB,16,361,513,70.4,"4,054",7.9,253.4,75,21,8,29,184,64.1,100.8
9,Carson WentzPHI,QB,16,388,607,63.9,"4,039",6.7,252.4,53,27,7,37,230,62.8,93.1
10,Patrick MahomesKC,QB,14,319,484,65.9,"4,031",8.3,287.9,83,26,5,17,127,77.7,105.3
11,Aaron RodgersGB,QB,16,353,569,62,"4,002",7,250.1,74,26,4,36,284,52.5,95.4
12,Jimmy GaroppoloSF,QB,16,329,476,69.1,"3,978",8.4,248.6,75,27,13,36,237,60.8,102
13,Deshaun WatsonHOU,QB,15,333,495,67.3,"3,852",7.8,256.8,54,26,12,44,257,70.5,98
14,Baker MayfieldCLE,QB,16,317,534,59.4,"3,827",7.2,239.2,89,22,21,40,285,54.4,78.8
15,Kyler MurrayARI,QB,16,349,542,64.4,"3,722",6.9,232.6,88,20,12,48,309,57.7,87.4
16,Kirk CousinsMIN,QB,15,307,444,69.1,"3,603",8.1,240.2,66,26,6,28,206,60.4,107.4
17,Ryan FitzpatrickMIA,QB,15,311,502,62,"3,529",7,235.3,51,20,13,40,209,68.3,85.5
18,Andy DaltonCIN,QB,13,314,528,59.5,"3,494",6.6,268.8,66,16,14,37,249,42.1,78.3
19,Kyle AllenCAR,QB,13,303,489,62,"3,322",6.8,255.5,52,17,16,46,397,38.3,80
20,Gardner MinshewJAX,QB,14,285,470,60.6,"3,271",7,233.6,70,21,6,33,184,44.6,91.2
21,Mitch TrubiskyCHI,QB,15,326,516,63.2,"3,138",6.1,209.2,53,17,10,38,234,41.5,83
22,Lamar JacksonBAL,QB,15,265,401,66.1,"3,127",7.8,208.5,83,36,6,23,106,83,113.3
