RK,NAME,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1,Michael ThomasNO,WR,16,149,185,"1,725",11.6,9,49,17,107.8,1,0,582,91
2,Julio JonesATL,WR,15,99,157,"1,394",14.1,6,54,21,92.9,1,0,360,77
3,Chris GodwinTB,WR,14,86,121,"1,333",15.5,9,71,25,95.2,0,0,591,63
4,Travis KelceKC,TE,16,97,136,"1,229",12.7,5,47,13,76.8,1,1,430,65
5,DeVante ParkerMIA,WR,16,72,128,"1,202",16.7,9,51,21,75.1,0,0,291,58
6,Keenan AllenLAC,WR,16,104,149,"1,199",11.5,6,45,15,74.9,0,0,368,63
7,Kenny GolladayDET,WR,16,65,116,"1,190",18.3,11,75,22,74.4,1,1,301,52
8,Amari CooperDAL,WR,16,79,119,"1,189",15.1,8,53,17,74.3,0,0,245,54
9,DJ MooreCAR,WR,15,87,135,"1,175",13.5,4,52,13,78.3,2,1,403,63
10,Jarvis LandryCLE,WR,16,83,138,"1,174",14.1,6,65,20,73.4,0,0,440,55
11,DeAndre HopkinsHOU,WR,15,104,150,"1,165",11.2,7,43,16,77.7,0,0,393,68
12,Cooper KuppLAR,WR,16,94,134,"1,161",12.4,10,66,21,72.6,3,0,547,51
13,Mike EvansTB,WR,13,67,118,"1,157",17.3,8,67,17,89,0,0,276,54
14,Allen Robinson IICHI,WR,16,98,154,"1,147",11.7,7,49,15,71.7,0,0,279,63
15,Darren WallerOAK,TE,16,90,117,"1,145",12.7,3,75,14,71.6,1,1,601,53
16,Robert WoodsLAR,WR,15,90,139,"1,134",12.6,2,48,14,75.6,0,0,584,54
17,Stefon DiggsMIN,WR,15,63,94,"1,130",17.9,6,66,20,75.3,4,3,308,41
18,Julian EdelmanNE,WR,16,100,153,"1,117",11.2,6,44,13,69.8,3,1,337,54
19,Courtland SuttonDEN,WR,16,72,124,"1,112",15.4,6,70,18,69.5,2,0,363,50
20,Michael GallupDAL,WR,14,66,113,"1,107",16.8,6,62,18,79.1,0,0,343,50
21,John BrownBUF,WR,15,72,115,"1,060",14.7,6,53,17,70.7,0,0,217,53
22,Tyler LockettSEA,WR,16,82,110,"1,057",12.9,8,44,15,66.1,1,0,314,53
23,George KittleSF,TE,14,85,107,"1,053",12.4,5,61,16,75.2,1,0,622,53
24,A.J. BrownTEN,WR,16,52,84,"1,051",20.2,8,91,15,65.7,1,0,463,39
25,Tyler BoydCIN,WR,16,90,148,"1,046",11.6,5,47,12,65.4,2,2,358,51
26,Odell Beckham Jr.CLE,WR,16,74,133,"1,035",14,4,89,16,64.7,0,0,331,44
27,DJ CharkJAX,WR,15,73,118,"1,008",13.8,8,69,17,67.2,0,0,316,42
28,Christian McCaffreyCAR,RB,16,116,142,"1,005",8.7,4,28,7,62.8,0,0,"1,010",58
29,Mike WilliamsLAC,WR,15,49,90,"1,001",20.4,2,56,17,66.7,0,0,219,41
30,Davante AdamsGB,WR,12,83,127,997,12,5,58,12,83.1,2,1,393,54
31,Austin EkelerLAC,RB,16,92,108,993,10.8,8,84,9,62.1,2,1,944,42
32,Terry McLaurinWSH,WR,14,58,93,919,15.8,7,75,15,65.6,0,0,220,43
33,Zach ErtzPHI,TE,15,88,135,916,10.4,6,30,12,61.1,1,1,276,50
34,DK MetcalfSEA,WR,16,58,100,900,15.5,7,54,13,56.3,3,3,278,39
85,Emmanuel SandersSF/DEN,WR,17,66,97,869,13.2,5,75,11,51.1,0,0,244,41
35,Calvin RidleyATL,WR,13,63,93,866,13.7,7,36,12,66.6,0,0,139,47
36,Tyreek HillKC,WR,12,58,89,860,14.8,7,57,11,71.7,0,0,276,39
37,Mark AndrewsBAL,TE,15,64,98,852,13.3,10,51,16,56.8,2,1,302,44
38,Jamison CrowderNYJ,WR,16,78,122,833,10.7,6,41,11,52.1,0,0,357,41
39,Randall CobbDAL,WR,15,55,83,828,15.1,3,59,15,55.2,2,1,343,41
40,Larry FitzgeraldARI,WR,16,75,109,804,10.7,4,54,10,50.3,1,1,358,40
41,Deebo SamuelSF,WR,15,57,81,802,14.1,3,42,17,53.5,2,1,481,32
42,Austin HooperATL,TE,13,75,97,787,10.5,6,35,8,60.5,0,0,329,41
43,Marvin Jones Jr.DET,WR,13,62,91,779,12.6,9,47,12,59.9,0,0,121,41
43,Robbie AndersonNYJ,WR,16,52,96,779,15,5,92,13,48.7,1,0,171,35
45,Cole BeasleyBUF,WR,15,67,106,778,11.6,6,51,10,51.9,0,0,344,37
46,Chris ConleyJAX,WR,16,47,90,775,16.5,5,70,13,48.4,0,0,253,36
47,Darius SlaytonNYG,WR,14,48,84,740,15.4,8,55,12,52.9,0,0,198,32
48,James WashingtonPIT,WR,15,44,80,735,16.7,3,79,13,49,1,1,203,31
49,Tyler HigbeeLAR,TE,15,69,89,734,10.6,3,33,11,48.9,0,0,403,36
50,Christian KirkARI,WR,13,68,107,709,10.4,3,69,6,54.5,0,0,291,31
51,Jared CookNO,TE,14,43,65,705,16.4,9,61,15,50.4,0,0,258,32
52,Diontae JohnsonPIT,WR,16,59,92,680,11.5,5,45,7,42.5,3,1,307,31
53,Danny AmendolaDET,WR,15,62,97,678,10.9,1,47,6,45.2,0,0,218,36
54,Golden TateNYG,WR,11,49,85,676,13.8,6,64,10,61.5,1,1,289,30
55,Sammy WatkinsKC,WR,14,52,90,673,12.9,3,68,9,48.1,2,1,302,30
56,William Fuller VHOU,WR,11,49,71,670,13.7,3,54,10,60.9,1,0,227,26
57,Dede WestbrookJAX,WR,15,66,101,660,10,3,39,10,44,0,0,316,31
58,Anthony MillerCHI,WR,16,52,85,656,12.6,2,35,11,41,0,0,227,34
59,Hunter HenryLAC,TE,12,55,76,652,11.9,5,30,8,54.3,1,1,174,36
60,Tyrell WilliamsOAK,WR,14,42,64,651,15.5,6,46,12,46.5,0,0,204,33
61,James WhiteNE,RB,15,72,95,645,9,5,59,9,43,0,0,541,31
61,Breshad PerrimanTB,WR,14,36,70,645,17.9,6,44,15,46.1,0,0,134,29
63,Curtis SamuelCAR,WR,16,54,105,627,11.6,6,44,8,39.2,0,0,153,36
64,Zach PascalIND,WR,16,41,72,607,14.8,5,37,11,37.9,0,0,234,29
64,Dallas GoedertPHI,TE,15,58,87,607,10.5,5,28,8,40.5,2,2,363,33
66,Hunter RenfrowOAK,WR,13,49,71,605,12.3,4,65,7,46.5,0,0,327,31
67,Corey DavisTEN,WR,15,43,69,601,14,2,38,10,40.1,1,0,211,33
68,Greg OlsenCAR,TE,14,52,82,597,11.5,2,41,6,42.6,0,0,217,34
69,Marquise BrownBAL,WR,14,46,71,584,12.7,7,83,8,41.7,0,0,237,24
70,Brandin CooksLAR,WR,14,42,72,583,13.9,2,57,9,41.6,0,0,169,32
71,Sterling ShepardNYG,WR,10,57,83,576,10.1,3,36,8,57.6,0,0,180,29
72,Auden TateCIN,WR,12,40,80,575,14.4,1,33,8,47.9,1,1,202,29
73,Mike GesickiMIA,TE,16,51,89,570,11.2,5,34,7,35.6,1,1,195,25
74,Noah FantDEN,TE,16,40,66,562,14.1,3,75,10,35.1,1,1,388,23
75,Kenny StillsHOU,WR,13,40,55,561,14,4,45,9,43.2,0,0,141,27
76,JuJu Smith-SchusterPIT,WR,12,42,70,552,13.1,3,76,7,46,1,1,243,23
77,Mecole HardmanKC,WR,16,26,41,538,20.7,6,83,9,33.6,0,0,305,18
78,Alvin KamaraNO,RB,14,81,97,533,6.6,1,41,2,38.1,1,0,568,28
79,Jason WittenDAL,TE,16,63,83,529,8.4,4,33,2,33.1,1,1,171,27
79,Alex EricksonCIN,WR,16,43,78,529,12.3,0,52,5,33.1,1,0,230,26
81,Leonard FournetteJAX,RB,15,76,100,522,6.9,0,27,3,34.8,1,1,576,23
195,Mohamed SanuATL/NE,WR,15,59,89,520,8.8,2,28,3,34.7,0,0,193,30
82,Dalvin CookMIN,RB,14,53,63,519,9.8,0,31,7,37.1,1,0,597,26
83,Miles SandersPHI,RB,16,50,63,509,10.2,3,45,8,31.8,0,0,419,19
84,John RossCIN,WR,8,28,56,506,18.1,3,66,10,63.3,1,1,200,22
86,T.Y. HiltonIND,WR,10,45,68,501,11.1,5,35,6,50.1,0,0,213,24
87,Alshon JefferyPHI,WR,10,43,73,490,11.4,4,38,6,49,0,0,133,36
88,Allen LazardGB,WR,16,35,52,477,13.6,3,43,6,29.8,0,0,145,24
89,Aaron JonesGB,RB,16,49,68,474,9.7,3,67,6,29.6,1,1,453,18
90,Evan EngramNYG,TE,8,44,68,467,10.6,3,75,4,58.4,0,0,254,23
91,Le'Veon BellNYJ,RB,15,66,78,461,7,1,23,2,30.7,1,1,454,20
92,O.J. HowardTB,TE,14,34,53,459,13.5,1,33,8,32.8,1,1,165,23
93,Tarik CohenCHI,RB,16,79,104,456,5.8,3,31,2,28.5,1,0,437,18
94,Marquez Valdes-ScantlingGB,WR,16,26,56,452,17.4,2,74,7,28.3,0,0,152,14
95,Demarcus RobinsonKC,WR,16,32,55,449,14,4,44,7,28.1,0,0,105,19
96,Jack DoyleIND,TE,16,43,72,448,10.4,4,23,4,28,1,0,223,29
97,Jimmy GrahamGB,TE,16,38,60,447,11.8,3,48,7,27.9,1,0,256,23
98,Russell GageATL,WR,16,49,74,446,9.1,1,19,0,27.9,0,0,167,25
99,Jonnu SmithTEN,TE,16,35,44,439,12.5,3,57,8,27.4,0,0,284,16
